"","Team","Scenario","Reduction","Rank","Output"
"279","COL2","HP21",0,0,"Peak Delay"
"280","COL","HP22",0,0,"Peak Delay"
"281","NEU3","HP22",3,0,"Peak Delay"
"282","UTA","HP22",2,0,"Peak Delay"
"283","UVA","HP22",3,0,"Peak Delay"
"284","IMP","HP22",2,0,"Peak Delay"
"285","COL2","HP22",0,0,"Peak Delay"
"286","COL","HP23",-1,0,"Peak Delay"
"287","NEU3","HP23",1,0,"Peak Delay"
"288","UTA","HP23",3,0,"Peak Delay"
"289","UVA","HP23",1,0,"Peak Delay"
"290","IMP","HP23",2,0,"Peak Delay"
"291","COL2","HP23",0,0,"Peak Delay"
"292","COL","HP24",0,0,"Peak Delay"
"293","NEU3","HP24",3,0,"Peak Delay"
"294","UTA","HP24",3,0,"Peak Delay"
"295","UVA","HP24",3,0,"Peak Delay"
"296","IMP","HP24",2,0,"Peak Delay"
"297","COL2","HP24",0,0,"Peak Delay"
